employee_id,first_name,last_name,email,hire_date,department_id,job_id,salary
1,Luis,Moreno,luis.moreno1@example.com,2019-04-12,20,101,7238
2,Carlos,Rodriguez,carlos.rodriguez2@example.com,2024-07-19,20,100,5015
3,Valentina,Garcia,valentina.garcia3@example.com,2024-04-19,20,102,3747
4,Diana,Castro,diana.castro4@example.com,2020-09-02,10,106,5806
5,Jorge,Perez,jorge.perez5@example.com,2019-10-09,20,100,3520
6,Valentina,Torres,valentina.torres6@example.com,2021-09-25,40,104,2591
7,Diego,Lopez,diego.lopez7@example.com,2022-05-05,20,101,7021
8,Laura,Moreno,laura.moreno8@example.com,2022-04-29,40,104,2661
9,Carlos,Rodriguez,carlos.rodriguez9@example.com,2020-05-28,40,104,3576
10,Diego,Torres,diego.torres10@example.com,2021-09-29,10,106,5152
11,Diego,Vargas,diego.vargas11@example.com,2022-12-02,20,101,8278
12,Luis,Fernandez,luis.fernandez12@example.com,2022-10-18,20,102,3804
13,Carlos,Perez,carlos.perez13@example.com,2020-10-25,20,101,6502
14,Valentina,Castro,valentina.castro14@example.com,2022-01-24,40,104,4214
15,Luis,Fernandez,luis.fernandez15@example.com,2022-08-06,20,102,4194
16,Laura,Moreno,laura.moreno16@example.com,2022-05-17,20,100,5476
17,Andres,Moreno,andres.moreno17@example.com,2023-08-01,20,100,4871
18,Jorge,Lopez,jorge.lopez18@example.com,2020-08-30,20,101,7768
19,Diego,Perez,diego.perez19@example.com,2021-06-11,40,104,3183
20,Diego,Moreno,diego.moreno20@example.com,2019-07-18,40,105,6291
21,Camila,Gomez,camila.gomez21@example.com,2019-11-30,50,107,5360
22,Juan,Rodriguez,juan.rodriguez22@example.com,2020-12-12,10,106,5707
23,Maria,Ramirez,maria.ramirez23@example.com,2018-07-17,50,107,5130
24,Juan,Lopez,juan.lopez24@example.com,2023-05-10,40,105,7450
25,Jorge,Gomez,jorge.gomez25@example.com,2023-05-14,20,100,5163
26,Laura,Fernandez,laura.fernandez26@example.com,2021-12-09,50,107,4834
27,Diego,Castro,diego.castro27@example.com,2019-03-29,20,102,4060
28,Juan,Lopez,juan.lopez28@example.com,2024-01-09,40,104,2553
29,Ana,Perez,ana.perez29@example.com,2022-02-05,40,105,5098
30,Jorge,Lopez,jorge.lopez30@example.com,2018-06-10,20,102,4603
31,Diego,Gomez,diego.gomez31@example.com,2019-04-05,20,101,6954
32,Andres,Vargas,andres.vargas32@example.com,2018-08-14,20,100,4800
33,Juan,Lopez,juan.lopez33@example.com,2019-07-01,20,102,4215
34,Carlos,Garcia,carlos.garcia34@example.com,2023-11-17,20,102,4915
35,Juan,Castro,juan.castro35@example.com,2020-09-19,30,103,3939
36,Laura,Torres,laura.torres36@example.com,2022-10-25,40,105,7613
37,Luis,Rodriguez,luis.rodriguez37@example.com,2018-06-04,20,100,3989
